nmi,ami,ari,f1,acc
0.8410358022717305,0.8409220238320025,0.7312535987953235,0.7162656286348946,0.7720475351111616
nmi,ami,ari,f1,acc
0.8194305369722852,0.8193033321441767,0.7245612226049208,0.7678489812120487,0.7996531528970262
nmi,ami,ari,f1,acc
0.8158511053959148,0.8157186457602366,0.6901113745086994,0.6589585452167253,0.7198783192130551
nmi,ami,ari,f1,acc
0.7885234193574916,0.7883745721070756,0.6808301944256897,0.7763362091843873,0.7976914766588957
nmi,ami,ari,f1,acc
0.7645480409740609,0.764382642993896,0.6271725431819979,0.6920154335861382,0.7071700688008188
nmi,ami,ari,f1,acc
0.8161768279119054,0.8160475359720346,0.748958876488102,0.7283964773526913,0.7886791379996588
nmi,ami,ari,f1,acc
0.8146125397134222,0.8144825032956802,0.73564453744535,0.7557246020773413,0.7873713538409052
nmi,ami,ari,f1,acc
0.8275152081360861,0.827392407934846,0.6890079359884049,0.760493778339336,0.8041451071814408
nmi,ami,ari,f1,acc
0.7961571971429185,0.7960127142793583,0.6779927749346348,0.6800849107052898,0.714249161312333
